DESCRIPCIÓN DE LA SERIE;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.;Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Entre 1 y 5 años. Conjunto EC UEM;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Rendimiento interno Deuda Pública 2 a 6 años. Mercado secundario;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Interbancario. Mibor a 1 año;Tipo de interés. Tipos legales. Interés legal;Tipo de interés. Tipos legales. interés Ley enjuiciamiento civil;Tipo de interés. Tipos legales. Interés de demora a efectos tributarios;Tipo de interés. Tipos legales. Interés de demora en operaciones comerciales;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A un año;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A dos años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A tres años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A cuatro años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A siete años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A diez años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A quince años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A veinte años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A treinta años;Tipo de interés. De referencia. Mercado hipotecario. Interbancario.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Tipo medio préstamos hipotecarios.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Deuda Pública de 2 a 6 años.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Fecha BOE IRS;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Importe agregado de préstamos;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Número de operaciones;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Entidades contribuidoras;
DESCRIPCIÓN DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Fecha;Fecha;Fecha;Fecha;Porcentaje;Miles de Euros;Operaciones;Entidades;
FRECUENCIA;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;
ENE 2011;-;-;-;-;1,5500;2,9180;-;-;3,3040;1,5500;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Feb-02;2011-Feb-18;2011-Feb-02;-;2,9180;-;-;-;
FEB 2011;-;-;-;-;1,7140;2,9620;-;-;3,5100;1,7140;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Mar-02;2011-Mar-19;2011-Mar-02;-;2,9620;-;-;-;
MAR 2011;-;-;-;-;1,9240;3,1200;-;-;3,6760;1,9240;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Abr-02;2011-Abr-20;2011-Abr-02;-;3,1200;-;-;-;
ABR 2011;-;-;-;-;2,0860;3,2260;-;-;3,8960;2,0850;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-May-04;2011-May-19;2011-May-04;-;3,2260;-;-;-;
MAY 2011;-;-;-;-;2,1470;3,3550;-;-;4,0200;2,1540;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Jun-02;2011-Jun-21;2011-Jun-02;-;3,3550;-;-;-;
JUN 2011;-;-;-;-;2,1440;3,4580;-;-;4,0550;2,1440;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Jul-02;2011-Jul-20;2011-Jul-02;-;3,4580;-;-;-;
JUL 2011;-;-;-;-;2,1830;3,5400;-;-;4,1610;2,2260;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2011-Ago-02;2011-Ago-19;2011-Ago-02;-;3,5400;-;-;-;
AGO 2011;-;-;-;-;2,0970;3,5330;-;-;4,2120;2,1370;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2011-Sep-02;2011-Sep-20;2011-Sep-02;-;3,5330;-;-;-;
SEP 2011;-;-;-;-;2,0670;3,5700;-;-;4,2720;2,2080;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2011-Oct-04;2011-Oct-20;2011-Oct-04;-;3,5700;-;-;-;
OCT 2011;-;-;-;-;2,1100;3,5860;-;-;4,2860;2,1100;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2011-Nov-03;2011-Nov-18;2011-Nov-03;-;3,5860;-;-;-;
NOV 2011;-;-;-;-;2,0440;3,6960;-;-;4,4590;2,0920;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2011-Dic-02;2011-Dic-20;2011-Dic-02;-;3,6960;-;-;-;
DIC 2011;-;-;-;-;2,0040;3,6260;-;-;4,4450;2,0040;4,0000;6,0000;5,0000;8,2500;-;-;-;-;-;-;-;-;-;-;2012-Ene-03;2012-Ene-19;2012-Ene-03;-;3,6260;-;-;-;
ENE 2012;-;-;-;-;1,8370;3,7160;-;-;4,2670;1,8370;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Feb-02;2012-Feb-18;2012-Feb-02;-;3,7160;-;-;-;
FEB 2012;-;-;-;-;1,6780;3,7370;-;-;4,1090;1,6790;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Mar-02;2012-Mar-21;2012-Mar-02;-;3,7370;-;-;-;
MAR 2012;-;-;-;-;1,4990;3,6240;-;-;3,9350;1,4980;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Abr-03;2012-Abr-19;2012-Abr-03;-;3,6240;-;-;-;
ABR 2012;-;-;-;-;1,3680;3,6170;-;-;3,9050;1,3680;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-May-04;2012-May-19;2012-May-04;-;3,6170;-;-;-;
MAY 2012;-;-;-;-;1,2660;3,4530;-;-;3,8020;1,2660;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Jun-02;2012-Jun-20;2012-Jun-02;-;3,4530;-;-;-;
JUN 2012;-;-;-;-;1,2190;3,4810;-;-;4,0210;1,2190;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Jul-03;2012-Jul-19;2012-Jul-03;-;3,4810;-;-;-;
JUL 2012;-;-;-;-;1,0610;3,4880;-;-;4,3890;1,0610;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Ago-02;2012-Ago-21;2012-Ago-02;-;3,4880;-;-;-;
AGO 2012;-;-;-;-;0,8770;3,4300;-;-;4,7050;0,8770;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Sep-04;2012-Sep-20;2012-Sep-04;-;3,4300;-;-;-;
SEP 2012;-;-;-;-;0,7400;3,3470;-;-;4,8960;0,7400;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2012-Oct-02;2012-Oct-18;2012-Oct-02;-;3,3470;-;-;-;
OCT 2012;-;-;-;-;0,6500;3,0780;3,2700;0,9710;4,8490;0,6500;4,0000;6,0000;5,0000;8,0000;0,2230;0,4800;0,6020;0,7720;0,9710;1,3580;1,7940;2,2220;2,3430;2,3870;2012-Nov-03;2012-Nov-23;2012-Nov-03;2012-Nov-08;3,0780;-;-;-;
NOV 2012;-;-;-;-;0,5880;2,9920;3,2400;0,8870;4,7250;0,5880;4,0000;6,0000;5,0000;8,0000;0,1910;0,4150;0,5270;0,6910;0,8870;1,2700;1,7090;2,1400;2,2650;2,3020;2012-Dic-04;2012-Dic-20;2012-Dic-04;2012-Dic-06;2,9920;-;-;-;
DIC 2012;-;-;-;-;0,5490;3,0230;3,1800;0,8060;4,4500;0,5490;4,0000;6,0000;5,0000;8,0000;0,1690;0,3650;0,4710;0,6240;0,8060;1,1760;1,6200;2,0680;2,2160;2,2810;2013-Ene-03;2013-Ene-19;2013-Ene-03;2013-Ene-04;3,0230;-;-;-;
ENE 2013;-;-;-;-;0,5750;3,2160;3,2400;0,9920;3,9920;0,5750;4,0000;6,0000;5,0000;7,7500;0,2870;0,5310;0,6620;0,8180;0,9920;1,3400;1,7650;2,1880;2,3340;2,3980;2013-Feb-02;2013-Feb-21;2013-Feb-02;2013-Feb-04;3,2160;-;-;-;
FEB 2013;-;-;-;-;0,5940;3,2190;3,1700;1,0830;3,6670;0,5940;4,0000;6,0000;5,0000;7,7500;0,3100;0,5800;0,7280;0,8980;1,0830;1,4390;1,8640;2,2860;2,4230;2,4690;2013-Mar-02;2013-Mar-22;2013-Mar-02;2013-Mar-12;3,2190;-;-;-;
MAR 2013;-;-;-;-;0,5450;3,4150;3,1800;0,9150;3,5100;0,5450;4,0000;6,0000;5,0000;8,7500;0,2460;0,4610;0,5820;0,7360;0,9150;1,2740;1,7160;2,1620;2,3170;2,3870;2013-Abr-02;2013-Abr-18;2013-Abr-02;2013-Abr-02;3,4150;-;-;-;
ABR 2013;-;-;-;-;0,5280;3,3780;3,1900;0,8220;3,3380;0,5280;4,0000;6,0000;5,0000;8,7500;0,2290;0,4260;0,5240;0,6590;0,8220;1,1520;1,5740;2,0160;2,1770;2,2510;2013-May-04;2013-May-21;2013-May-04;2013-May-08;3,3780;-;-;-;
MAY 2013;-;-;-;-;0,4840;3,3310;3,1300;0,8270;3,0870;0,4840;4,0000;6,0000;5,0000;8,7500;0,2070;0,3880;0,5010;0,6530;0,8270;1,1740;1,6160;2,0700;2,2390;2,3210;2013-Jun-04;2013-Jun-20;2013-Jun-04;2013-Jun-05;3,3310;-;-;-;
JUN 2013;-;-;-;-;0,5070;3,3630;3,0900;1,1220;2,9740;0,5070;4,0000;6,0000;5,0000;8,7500;0,2910;0,5500;0,7250;0,9230;1,1220;1,4700;1,8830;2,2940;2,4280;2,4650;2013-Jul-02;2013-Jul-18;2013-Jul-02;2013-Jul-04;3,3630;-;-;-;
JUL 2013;-;-;-;-;0,5250;3,4380;2,9900;1,1390;2,9430;0,5260;4,0000;6,0000;5,0000;8,5000;0,3020;0,5440;0,7080;0,9190;1,1390;1,5140;1,9470;2,3580;2,4750;2,4910;2013-Ago-02;2013-Ago-21;2013-Ago-02;2013-Ago-05;3,4380;-;-;-;
AGO 2013;-;-;-;-;0,5420;3,4740;2,9700;1,2910;2,9100;0,5420;4,0000;6,0000;5,0000;8,5000;0,3260;0,6030;0,8070;1,0520;1,2910;1,6800;2,1150;2,5200;2,6300;2,6300;2013-Sep-03;2013-Sep-19;2013-Sep-03;2013-Sep-05;3,4740;-;-;-;
SEP 2013;-;-;-;-;0,5430;3,4670;3,0000;1,3750;2,8160;0,5430;4,0000;6,0000;5,0000;8,5000;0,3180;0,6140;0,8550;1,1240;1,3750;1,7820;2,2210;2,6250;2,7370;2,7390;2013-Oct-02;2013-Oct-18;2013-Oct-02;2013-Oct-05;3,4670;-;-;-;
OCT 2013;-;-;-;-;0,5410;3,2520;3,0500;1,2510;2,7410;0,5410;4,0000;6,0000;5,0000;8,5000;0,3170;0,5670;0,7680;1,0110;1,2510;1,6570;2,1110;2,5420;2,6790;2,7150;2013-Nov-05;2013-Nov-20;2013-Nov-05;2013-Nov-05;3,2520;-;-;-;
NOV 2013;-;-;-;-;0,5060;3,3930;3,0400;1,0870;2,7110;0,5060;4,0000;6,0000;5,0000;8,5000;0,2560;0,4600;0,6290;0,8520;1,0870;1,5140;2,0030;2,4620;2,6160;2,6670;2013-Dic-03;2013-Dic-19;2013-Dic-03;2013-Dic-03;3,3930;-;-;-;
DIC 2013;-;-;-;-;0,5430;3,2870;3,0600;1,1560;2,6030;0,5430;4,0000;6,0000;5,0000;8,5000;0,2970;0,4950;0,6730;0,9110;1,1560;1,5830;2,0690;2,5120;2,6510;2,6680;2014-Ene-03;2014-Ene-18;2014-Ene-03;2014-Ene-03;3,2870;-;-;-;
ENE 2014;-;-;-;-;0,5620;3,2740;3,0100;1,1720;2,4270;0,5620;4,0000;6,0000;5,0000;8,2500;0,3050;0,5110;0,6940;0,9320;1,1720;1,5910;2,0660;2,5070;2,6510;2,6840;2014-Feb-04;2014-Feb-20;2014-Feb-04;2014-Feb-06;3,2740;-;-;-;
FEB 2014;-;-;-;-;0,5490;3,1990;3,0100;1,0130;2,2220;0,5490;4,0000;6,0000;5,0000;8,2500;0,2650;0,4460;0,5930;0,7980;1,0130;1,4160;1,8870;2,3350;2,4900;2,5380;2014-Mar-04;2014-Mar-20;2014-Mar-04;2014-Mar-10;3,1990;-;-;-;
MAR 2014;-;-;-;-;0,5770;3,1770;2,9500;0,9980;2,0670;0,5770;4,0000;6,0000;5,0000;8,2500;0,3030;0,4820;0,6170;0,8020;0,9980;1,3740;1,8320;2,2830;2,4450;2,5010;2014-Abr-02;2014-Abr-22;2014-Abr-02;2014-Abr-10;3,1770;-;-;-;
ABR 2014;-;-;-;-;0,6040;3,1810;2,9000;0,9570;1,8880;0,6040;4,0000;6,0000;5,0000;8,2500;0,3010;0,4740;0,6010;0,7730;0,9570;1,3170;1,7630;2,2100;2,3780;2,4410;2014-May-06;2014-May-21;2014-May-06;2014-May-14;3,1810;-;-;-;
MAY 2014;-;-;-;-;0,5920;3,1640;2,9100;0,8310;1,7200;0,5920;4,0000;6,0000;5,0000;8,2500;0,2570;0,4070;0,5060;0,6580;0,8310;1,1860;1,6320;2,0810;2,2530;2,3210;2014-Jun-03;2014-Jun-19;2014-Jun-03;2014-Jun-10;3,1640;-;-;-;
JUN 2014;-;-;-;-;0,5130;3,0640;2,8600;0,7070;1,5230;0,5130;4,0000;6,0000;5,0000;8,2500;0,1990;0,3310;0,4110;0,5430;0,7070;1,0670;1,5330;2,0030;2,1940;2,2810;2014-Jul-02;2014-Jul-18;2014-Jul-02;2014-Jul-09;3,0640;-;-;-;
JUL 2014;-;-;-;-;0,4880;3,0330;2,8300;0,6430;1,3590;0,4880;4,0000;6,0000;5,0000;8,1500;0,1900;0,3210;0,3920;0,5030;0,6430;0,9630;1,3980;1,8480;2,0390;2,1290;2014-Ago-02;2014-Ago-21;2014-Ago-02;2014-Ago-11;3,0330;-;-;-;
AGO 2014;-;-;-;-;0,4690;3,0210;2,7500;0,5800;1,2130;0,4690;4,0000;6,0000;5,0000;8,1500;0,1740;0,3090;0,3700;0,4630;0,5800;0,8530;1,2430;1,6480;1,8250;1,9160;2014-Sep-02;2014-Sep-18;2014-Sep-02;2014-Sep-04;3,0210;-;-;-;
SEP 2014;-;-;-;-;0,3620;2,9490;2,7400;0,4880;1,0640;0,3620;4,0000;6,0000;5,0000;8,1500;0,0870;0,2160;0,2760;0,3690;0,4880;0,7710;1,1820;1,6140;1,8190;1,9500;2014-Oct-02;2014-Oct-18;2014-Oct-02;2014-Oct-06;2,9490;-;-;-;
OCT 2014;-;-;-;-;0,3380;2,8190;2,6900;0,4590;0,9680;0,3380;4,0000;6,0000;5,0000;8,1500;0,0900;0,2170;0,2730;0,3550;0,4590;0,7140;1,0990;1,5170;1,7220;1,8460;2014-Nov-04;2014-Nov-20;2014-Nov-04;2014-Nov-11;2,8190;-;-;-;
NOV 2014;-;-;-;-;0,3350;2,6060;2,6300;0,4200;0,8830;0,3350;4,0000;6,0000;5,0000;8,1500;0,0830;0,2140;0,2630;0,3320;0,4200;0,6430;1,0040;1,4100;1,6140;1,7450;2014-Dic-02;2014-Dic-18;2014-Dic-02;2014-Dic-03;2,6060;-;-;-;
DIC 2014;-;-;-;-;0,3290;2,5570;2,5300;0,4010;0,8280;0,3290;4,0000;6,0000;5,0000;8,1500;0,0810;0,2020;0,2540;0,3210;0,4010;0,5930;0,9110;1,2690;1,4490;1,5840;2015-Ene-03;2015-Ene-21;2015-Ene-03;2015-Ene-03;2,5570;-;-;-;
ENE 2015;-;-;-;-;0,2980;2,4360;2,5200;0,3180;0,7580;0,2980;3,5000;5,5000;4,3750;8,0500;0,0390;0,1410;0,1830;0,2440;0,3180;0,4820;0,7360;1,0170;1,1710;1,3020;2015-Feb-03;2015-Feb-19;2015-Feb-03;2015-Feb-11;2,4360;-;-;-;
FEB 2015;-;-;-;-;0,2550;2,4570;2,5300;0,3020;0,7120;0,2550;3,5000;5,5000;4,3750;8,0500;0,0410;0,1300;0,1680;0,2290;0,3020;0,4660;0,7030;0,9610;1,1030;1,2070;2015-Mar-03;2015-Mar-19;2015-Mar-03;2015-Mar-14;2,4570;-;-;-;
MAR 2015;-;-;-;-;0,2120;2,3240;2,4700;0,2750;0,6550;0,2120;3,5000;5,5000;4,3750;8,0500;0,0100;0,0950;0,1370;0,2020;0,2750;0,4230;0,6280;0,8390;0,9410;1,0210;2015-Abr-02;2015-Abr-18;2015-Abr-02;2015-Abr-11;2,3240;-;-;-;
ABR 2015;-;-;-;-;0,1800;2,2510;2,4500;0,2160;0,5850;0,1800;3,5000;5,5000;4,3750;8,0500;-0,0040;0,0700;0,1030;0,1560;0,2160;0,3430;0,5140;0,6940;0,7730;0,8140;2015-May-05;2015-May-21;2015-May-05;2015-May-13;2,2510;-;-;-;
MAY 2015;-;-;-;-;0,1650;2,1560;2,4000;0,3840;0,5350;0,1650;3,5000;5,5000;4,3750;8,0500;-0,0020;0,1030;0,1740;0,2720;0,3840;0,6150;0,8980;1,1640;1,2710;1,3210;2015-Jun-02;2015-Jun-18;2015-Jun-02;2015-Jun-10;2,1560;-;-;-;
JUN 2015;-;-;-;-;0,1630;2,1610;2,3300;0,5210;0,5550;0,1630;3,5000;5,5000;4,3750;8,0500;0,0170;0,1370;0,2350;0,3690;0,5210;0,8130;1,1570;1,4780;1,5970;1,6340;2015-Jul-03;2015-Jul-18;2015-Jul-03;2015-Jul-13;2,1610;-;-;-;
JUL 2015;-;-;-;-;0,1670;2,1520;2,2500;0,4630;0,5730;0,1670;3,5000;5,5000;4,3750;8,0500;-0,0070;0,1110;0,1950;0,3190;0,4630;0,7550;1,1200;1,4780;1,6260;1,6720;2015-Ago-04;2015-Ago-20;2015-Ago-04;2015-Ago-05;2,1520;-;-;-;
AGO 2015;-;-;-;-;0,1610;2,1820;2,2600;0,3950;0,5790;0,1610;3,5000;5,5000;4,3750;8,0500;-0,0280;0,0880;0,1650;0,2720;0,3950;0,6560;0,9960;1,3340;1,4750;1,5180;2015-Sep-02;2015-Sep-19;2015-Sep-02;2015-Sep-03;2,1820;-;-;-;
SEP 2015;-;-;-;-;0,1540;2,1170;2,2800;0,3900;0,6410;0,1540;3,5000;5,5000;4,3750;8,0500;-0,0420;0,0730;0,1490;0,2610;0,3900;0,6640;1,0240;1,3910;1,5430;1,5860;2015-Oct-02;2015-Oct-20;2015-Oct-02;2015-Oct-08;2,1170;-;-;-;
OCT 2015;-;-;-;-;0,1280;2,1270;2,3600;0,3150;0,6650;0,1280;3,5000;5,5000;4,3750;8,0500;-0,0840;0,0230;0,0900;0,1940;0,3150;0,5790;0,9300;1,3020;1,4640;1,5120;2015-Nov-03;2015-Nov-19;2015-Nov-03;2015-Nov-06;2,1270;-;-;-;
NOV 2015;-;-;-;-;0,0790;2,1320;2,3200;0,2310;0,6540;0,0790;3,5000;5,5000;4,3750;8,0500;-0,1680;-0,0700;-0,0100;0,1000;0,2310;0,5160;0,9000;1,3020;1,4820;1,5480;2015-Dic-02;2015-Dic-18;2015-Dic-02;2015-Dic-03;2,1320;-;-;-;
DIC 2015;-;-;-;-;0,0590;2,0540;2,3200;0,2660;0,5970;0,0590;3,5000;5,5000;4,3750;8,0500;-0,1730;-0,0570;0,0140;0,1310;0,2660;0,5460;0,9250;1,3240;1,4950;1,5360;2016-Ene-05;2016-Ene-20;2016-Ene-05;2016-Ene-05;2,0540;-;-;-;
ENE 2016;-;-;-;-;0,0420;2,0140;2,2700;0,2020;0,5450;0,0420;3,0000;5,0000;3,7500;8,0500;-0,2150;-0,0970;-0,0330;0,0750;0,2020;0,4710;0,8360;1,2340;1,4050;1,4520;2016-Feb-02;2016-Feb-18;2016-Feb-02;2016-Feb-05;2,0140;-;-;-;
FEB 2016;-;-;-;-;-0,0080;2,0070;2,2300;0,0470;0,5250;-0,0080;3,0000;5,0000;3,7500;8,0500;-0,2820;-0,1740;-0,1310;-0,0520;0,0470;0,2770;0,6020;0,9360;1,0700;1,1140;2016-Mar-02;2016-Mar-18;2016-Mar-02;2016-Mar-02;2,0070;-;-;-;
MAR 2016;-;-;-;-;-0,0120;1,9190;2,2000;0,0250;0,4550;-0,0120;3,0000;5,0000;3,7500;8,0500;-0,2800;-0,1680;-0,1320;-0,0640;0,0250;0,2430;0,5750;0,9280;1,0630;1,1020;2016-Abr-02;2016-Abr-20;2016-Abr-02;2016-Abr-09;1,9190;-;-;-;
ABR 2016;-;-;-;-;-0,0100;2,0300;2,0900;0,0240;0,4230;-0,0100;3,0000;5,0000;3,7500;8,0500;-0,2740;-0,1540;-0,1240;-0,0600;0,0240;0,2380;0,5630;0,9120;1,0450;1,0790;2016-May-04;2016-May-20;2016-May-04;2016-May-13;2,0300;-;-;-;
MAY 2016;-;-;-;-;-0,0130;1,8900;2,1000;0,0200;0,3880;-0,0130;3,0000;5,0000;3,7500;8,0500;-0,2770;-0,1510;-0,1210;-0,0620;0,0200;0,2310;0,5620;0,9270;1,0740;1,1160;2016-Jun-02;2016-Jun-18;2016-Jun-02;2016-Jun-07;1,8900;-;-;-;
JUN 2016;-;-;-;-;-0,0280;1,9700;2,0300;-0,0400;0,3590;-0,0280;3,0000;5,0000;3,7500;8,0500;-0,2940;-0,1810;-0,1630;-0,1150;-0,0400;0,1570;0,4700;0,8060;0,9360;0,9640;2016-Jul-02;2016-Jul-20;2016-Jul-02;2016-Jul-07;1,9700;-;-;-;
JUL 2016;-;-;-;-;-0,0560;2,0070;2,0000;-0,1400;0,3060;-0,0560;3,0000;5,0000;3,7500;8,0000;-0,3390;-0,2270;-0,2220;-0,1940;-0,1400;0,0270;0,3160;0,6350;0,7560;0,7850;2016-Ago-03;2016-Ago-19;2016-Ago-03;2016-Ago-03;2,0070;-;-;-;
AGO 2016;-;-;-;-;-0,0480;1,9570;1,9600;-0,1330;0,2240;-0,0480;3,0000;5,0000;3,7500;8,0000;-0,3280;-0,2120;-0,2050;-0,1810;-0,1330;0,0160;0,2870;0,5940;0,7160;0,7440;2016-Sep-02;2016-Sep-20;2016-Sep-02;2016-Sep-10;1,9570;-;-;-;
SEP 2016;-;-;-;-;-0,0570;1,9030;1,9600;-0,1310;0,1650;-0,0570;3,0000;5,0000;3,7500;8,0000;-0,3320;-0,2250;-0,2140;-0,1840;-0,1310;0,0270;0,3100;0,6320;0,7640;0,8040;2016-Oct-04;2016-Oct-20;2016-Oct-04;2016-Oct-05;1,9030;-;-;-;
OCT 2016;-;-;-;-;-0,0690;1,9210;1,9800;-0,0650;0,1100;-0,0690;3,0000;5,0000;3,7500;8,0000;-0,3130;-0,1950;-0,1710;-0,1290;-0,0650;0,1090;0,4060;0,7400;0,8730;0,9140;2016-Nov-03;2016-Nov-18;2016-Nov-03;2016-Nov-16;1,9210;-;-;-;
NOV 2016;-;-;-;-;-0,0740;1,9360;1,9000;0,0830;0,1050;-0,0740;3,0000;5,0000;3,7500;8,0000;-0,2920;-0,1460;-0,0850;-0,0090;0,0830;0,3000;0,6180;0,9530;1,0860;1,1330;2016-Dic-02;2016-Dic-20;2016-Dic-02;2016-Dic-13;1,9360;-;-;-;
DIC 2016;-;-;-;-;-0,0800;1,8740;1,9100;0,1180;0,0780;-0,0800;3,0000;5,0000;3,7500;8,0000;-0,2960;-0,1560;-0,0880;0,0040;0,1180;0,3740;0,7320;1,0970;1,2440;1,3020;2017-Ene-03;2017-Ene-19;2017-Ene-03;2017-Ene-11;1,8740;-;-;-;
ENE 2017;-;-;-;-;-0,0950;1,9280;1,8800;0,1220;0,0870;-0,0950;3,0000;5,0000;3,7500;8,0000;-0,3110;-0,1650;-0,0870;0,0090;0,1220;0,3710;0,7330;1,1130;1,2720;1,3490;2017-Feb-02;2017-Feb-18;2017-Feb-02;2017-Feb-04;1,9280;-;-;-;
FEB 2017;-;-;-;-;-0,1060;1,8810;1,8700;0,1460;0,1360;-0,1060;3,0000;5,0000;3,7500;8,0000;-0,2960;-0,1470;-0,0670;0,0310;0,1460;0,4000;0,7650;1,1570;1,3260;1,4110;2017-Mar-02;2017-Mar-18;2017-Mar-02;2017-Mar-02;1,8810;-;-;-;
MAR 2017;-;-;-;-;-0,1100;1,8790;1,8900;0,2320;0,1790;-0,1100;3,0000;5,0000;3,7500;8,0000;-0,2850;-0,1100;-0,0050;0,1090;0,2320;0,4790;0,8230;1,1960;1,3570;1,4360;2017-Abr-04;2017-Abr-20;2017-Abr-04;2017-Abr-07;1,8790;-;-;-;
ABR 2017;-;-;-;-;-0,1190;1,9060;1,8800;0,1630;0,2150;-0,1190;3,0000;5,0000;3,7500;8,0000;-0,3040;-0,1480;-0,0570;0,0470;0,1630;0,4030;0,7430;1,1100;1,2650;1,3420;2017-May-04;2017-May-19;2017-May-04;2017-May-11;1,9060;-;-;-;
MAY 2017;-;-;-;-;-0,1270;1,9470;1,9000;0,2080;0,2050;-0,1270;3,0000;5,0000;3,7500;8,0000;-0,3100;-0,1420;-0,0350;0,0830;0,2080;0,4620;0,8170;1,2050;1,3750;1,4640;2017-Jun-02;2017-Jun-20;2017-Jun-02;2017-Jun-09;1,9470;-;-;-;
JUN 2017;-;-;-;-;-0,1490;1,9130;1,9000;0,1600;0,1870;-0,1490;3,0000;5,0000;3,7500;8,0000;-0,3140;-0,1730;-0,0760;0,0370;0,1600;0,4100;0,7690;1,1640;1,3410;1,4350;2017-Jul-04;2017-Jul-20;2017-Jul-04;2017-Jul-12;1,9130;-;-;-;
